run_id,position_bins,velocity_bins,num_actions,episodes,epsilon,epsilon_min,epsilon_decay,gamma,alpha,planning_steps,seed,eval_mean_reward,eval_std_reward,eval_success_rate,eval_mean_steps,train_success_rate_last500,train_seconds
disc_grid10x10_a5_s0,10,10,5,3000,1.0,0.05,0.999,0.99,0.1,,0,0.0,0.0,0.0,999.0,0.0,51.090136496000014
disc_grid10x10_a5_s1,10,10,5,3000,1.0,0.05,0.999,0.99,0.1,,1,0.0,0.0,0.0,999.0,0.0,51.380723171
disc_grid20x20_a5_s0,20,20,5,3000,1.0,0.05,0.999,0.99,0.1,,0,0.0,0.0,0.0,999.0,0.0,51.89838185999997
disc_grid20x20_a5_s1,20,20,5,3000,1.0,0.05,0.999,0.99,0.1,,1,0.0,0.0,0.0,999.0,0.0,53.557593682000004
disc_grid50x50_a5_s0,50,50,5,3000,1.0,0.05,0.999,0.99,0.1,,0,0.0,0.0,0.0,999.0,0.0,54.12830411499999
disc_grid50x50_a5_s1,50,50,5,3000,1.0,0.05,0.999,0.99,0.1,,1,0.0,0.0,0.0,999.0,0.0,56.64475378099996
disc_grid100x100_a5_s0,100,100,5,3000,1.0,0.05,0.999,0.99,0.1,,0,0.0,0.0,0.0,999.0,0.0,63.67802072999996
disc_grid100x100_a5_s1,100,100,5,3000,1.0,0.05,0.999,0.99,0.1,,1,0.0,0.0,0.0,999.0,0.0,52.795020894000004
disc_grid20x20_a2_s0,20,20,2,3000,1.0,0.05,0.999,0.99,0.1,,0,88.00900000000003,3.1043870570532834,1.0,119.91,0.998,14.273794942999984
disc_grid20x20_a2_s1,20,20,2,3000,1.0,0.05,0.999,0.99,0.1,,1,88.14100000000002,2.6637603120400946,1.0,118.59,1.0,15.791458053000042
disc_grid20x20_a3_s0,20,20,3,3000,1.0,0.05,0.999,0.99,0.1,,0,0.0,0.0,0.0,999.0,0.0,51.80245146000004
disc_grid20x20_a3_s1,20,20,3,3000,1.0,0.05,0.999,0.99,0.1,,1,0.0,0.0,0.0,999.0,0.0,52.66042701699996
disc_grid20x20_a11_s0,20,20,11,3000,1.0,0.05,0.999,0.99,0.1,,0,0.0,0.0,0.0,999.0,0.0,51.49210308399995
disc_grid20x20_a11_s1,20,20,11,3000,1.0,0.05,0.999,0.99,0.1,,1,0.0,0.0,0.0,999.0,0.0,52.147870194999996
