run_id,position_bins,velocity_bins,num_actions,episodes,epsilon,epsilon_min,epsilon_decay,gamma,alpha,planning_steps,seed,eval_mean_reward,eval_std_reward,eval_success_rate,eval_mean_steps,train_success_rate_last500,train_seconds
dynaq_qlearning_ep600_s0,20,20,5,600,1.0,0.05,0.999,0.99,0.1,,0,0.0,0.0,0.0,999.0,0.002,10.16028574400002
dynaq_qlearning_ep600_s1,20,20,5,600,1.0,0.05,0.999,0.99,0.1,,1,0.0,0.0,0.0,999.0,0.0,10.475009434000015
dynaq_n0_ep600_s0,20,20,5,600,1.0,0.05,0.999,0.99,0.1,0,0,0.0,0.0,0.0,999.0,0.002,14.099662897999963
dynaq_n0_ep600_s1,20,20,5,600,1.0,0.05,0.999,0.99,0.1,0,1,0.0,0.0,0.0,999.0,0.0,13.951466541000002
dynaq_n5_ep600_s0,20,20,5,600,1.0,0.05,0.999,0.99,0.1,5,0,81.59850000000002,31.178340803352526,0.95,263.69,0.17,25.850986087000024
dynaq_n5_ep600_s1,20,20,5,600,1.0,0.05,0.999,0.99,0.1,5,1,86.07750000000001,1.3747067869185774,1.0,275.54,0.43,23.75905057800003
dynaq_n20_ep600_s0,20,20,5,600,1.0,0.05,0.999,0.99,0.1,20,0,55.47975000000001,42.55570212894506,0.72,563.78,0.196,56.59113340099998
dynaq_n20_ep600_s1,20,20,5,600,1.0,0.05,0.999,0.99,0.1,20,1,61.12975,55.12089266954501,0.86,451.43,0.128,58.90237563399995
dynaq_n50_ep600_s0,20,20,5,600,1.0,0.05,0.999,0.99,0.1,50,0,-27.855749999999734,2.0789536280302756,0.0,999.0,0.08,127.20490062900001
dynaq_n50_ep600_s1,20,20,5,600,1.0,0.05,0.999,0.99,0.1,50,1,-27.850249999999907,15.695943940633132,0.0,999.0,0.036,130.24390109299998
