episode,reward,steps,success,epsilon
0,-42.1520,999,0,1.00000
1,-40.9240,999,0,0.99900
2,-39.5520,999,0,0.99800
3,-39.0880,999,0,0.99700
4,-40.3920,999,0,0.99601
5,-39.8000,999,0,0.99501
6,-39.8400,999,0,0.99401
7,-39.4040,999,0,0.99302
8,-38.5240,999,0,0.99203
9,-39.3520,999,0,0.99104
10,-38.7360,999,0,0.99004
11,-37.8720,999,0,0.98905
12,-41.3960,999,0,0.98807
13,-38.4520,999,0,0.98708
14,-40.0320,999,0,0.98609
15,-37.6960,999,0,0.98510
16,-36.4560,999,0,0.98412
17,-39.1720,999,0,0.98314
18,-36.5080,999,0,0.98215
19,-39.8880,999,0,0.98117
20,-39.6240,999,0,0.98019
21,-38.5880,999,0,0.97921
22,-37.1240,999,0,0.97823
23,-39.4760,999,0,0.97725
24,-39.5360,999,0,0.97627
25,-38.9160,999,0,0.97530
26,-39.8360,999,0,0.97432
27,-38.1360,999,0,0.97335
28,-40.9680,999,0,0.97237
29,-39.4600,999,0,0.97140
30,-39.3320,999,0,0.97043
31,-39.4800,999,0,0.96946
32,-40.1560,999,0,0.96849
33,-38.2080,999,0,0.96752
34,-38.7760,999,0,0.96656
35,-38.9480,999,0,0.96559
36,-37.0400,999,0,0.96462
37,-37.2240,999,0,0.96366
38,-39.1360,999,0,0.96269
39,-38.9280,999,0,0.96173
40,-39.7360,999,0,0.96077
41,-37.9200,999,0,0.95981
42,-38.6720,999,0,0.95885
43,-36.8680,999,0,0.95789
44,-39.3280,999,0,0.95693
45,-37.2000,999,0,0.95598
46,-36.1600,999,0,0.95502
47,-36.4960,999,0,0.95406
48,-36.7640,999,0,0.95311
49,-39.3440,999,0,0.95216
50,-39.1720,999,0,0.95121
51,-39.0600,999,0,0.95025
52,-37.7480,999,0,0.94930
53,-37.2800,999,0,0.94835
54,-40.5640,999,0,0.94741
55,-37.7360,999,0,0.94646
56,-38.7040,999,0,0.94551
57,-37.8720,999,0,0.94457
58,-37.9120,999,0,0.94362
59,-38.3000,999,0,0.94268
60,-37.3440,999,0,0.94174
61,-37.8080,999,0,0.94079
62,-35.9520,999,0,0.93985
63,-37.6160,999,0,0.93891
64,-37.9080,999,0,0.93797
65,-38.2360,999,0,0.93704
66,-38.3440,999,0,0.93610
67,-38.4000,999,0,0.93516
68,-35.9240,999,0,0.93423
69,-38.6400,999,0,0.93329
70,-37.0920,999,0,0.93236
71,-36.2800,999,0,0.93143
72,-36.5160,999,0,0.93050
73,-36.0880,999,0,0.92957
74,-35.7520,999,0,0.92864
75,-35.2920,999,0,0.92771
76,-35.0560,999,0,0.92678
77,-37.1480,999,0,0.92585
78,-36.6120,999,0,0.92493
