episode,reward,steps,success,epsilon
0,-51.9250,999,0,1.00000
1,-50.7250,999,0,0.99950
2,-50.3250,999,0,0.99900
3,-50.1500,999,0,0.99850
4,-49.1750,999,0,0.99800
5,-48.8250,999,0,0.99750
6,-50.0000,999,0,0.99700
7,-51.8250,999,0,0.99651
8,-48.8000,999,0,0.99601
9,-51.3750,999,0,0.99551
10,-49.4750,999,0,0.99501
11,-50.7500,999,0,0.99451
12,-48.1500,999,0,0.99402
13,-48.3500,999,0,0.99352
14,-49.8750,999,0,0.99302
15,-49.2750,999,0,0.99253
16,-50.2250,999,0,0.99203
17,-48.7250,999,0,0.99153
18,-50.7750,999,0,0.99104
19,-49.4750,999,0,0.99054
20,-50.9750,999,0,0.99005
21,-49.4000,999,0,0.98955
22,50.9000,974,1,0.98906
23,-51.4750,999,0,0.98856
24,-50.7250,999,0,0.98807
25,-49.7750,999,0,0.98757
26,-51.0000,999,0,0.98708
27,-49.5000,999,0,0.98659
28,-48.5500,999,0,0.98609
29,-47.9000,999,0,0.98560
30,-48.6750,999,0,0.98511
31,-49.9000,999,0,0.98462
32,-48.3250,999,0,0.98412
33,-47.9250,999,0,0.98363
34,-50.4000,999,0,0.98314
35,-51.1250,999,0,0.98265
36,53.1500,910,1,0.98216
37,-49.1250,999,0,0.98167
38,-47.8500,999,0,0.98117
39,-48.9250,999,0,0.98068
40,-49.1500,999,0,0.98019
41,-49.1250,999,0,0.97970
42,-48.6500,999,0,0.97921
43,-46.8500,999,0,0.97872
44,-47.7500,999,0,0.97823
45,-49.6250,999,0,0.97775
46,-47.5000,999,0,0.97726
47,-50.6250,999,0,0.97677
48,-49.2750,999,0,0.97628
49,-47.9000,999,0,0.97579
50,-48.0500,999,0,0.97530
51,-49.0250,999,0,0.97482
52,-49.1750,999,0,0.97433
53,-48.9000,999,0,0.97384
54,-51.7500,999,0,0.97335
55,-46.6000,999,0,0.97287
56,-48.8000,999,0,0.97238
57,-50.8250,999,0,0.97190
58,-49.8000,999,0,0.97141
59,-50.4250,999,0,0.97092
60,-48.1500,999,0,0.97044
61,-51.2000,999,0,0.96995
62,-49.3000,999,0,0.96947
63,-47.8250,999,0,0.96898
64,-49.3250,999,0,0.96850
65,-49.3000,999,0,0.96801
66,56.3500,898,1,0.96753
67,-49.5500,999,0,0.96705
68,-49.0500,999,0,0.96656
69,-45.8750,999,0,0.96608
70,-46.0500,999,0,0.96560
71,-46.3000,999,0,0.96511
72,-48.5000,999,0,0.96463
73,-47.9250,999,0,0.96415
74,-48.2500,999,0,0.96367
75,-47.8250,999,0,0.96319
76,-50.1750,999,0,0.96270
77,-49.2750,999,0,0.96222
78,-49.3250,999,0,0.96174
79,-47.1000,999,0,0.96126
80,-49.5000,999,0,0.96078
81,-45.2000,999,0,0.96030
82,-46.5500,999,0,0.95982
83,-47.1500,999,0,0.95934
84,-46.4750,999,0,0.95886
85,-47.2250,999,0,0.95838
86,-47.4750,999,0,0.95790
87,-48.6250,999,0,0.95742
88,-46.6500,999,0,0.95694
89,-45.3750,999,0,0.95646
90,-48.5250,999,0,0.95599
91,-46.3000,999,0,0.95551
92,-49.0000,999,0,0.95503
93,-45.9250,999,0,0.95455
94,-45.8750,999,0,0.95408
95,-46.2500,999,0,0.95360
96,-48.2000,999,0,0.95312
97,-46.0000,999,0,0.95265
98,-48.7250,999,0,0.95217
99,-48.0500,999,0,0.95169
100,-45.8500,999,0,0.95122
101,-44.9250,999,0,0.95074
102,-48.0250,999,0,0.95027
103,-48.9500,999,0,0.94979
104,-46.1500,999,0,0.94932
105,-47.9250,999,0,0.94884
106,-45.2500,999,0,0.94837
107,-46.4000,999,0,0.94789
108,-47.9000,999,0,0.94742
109,-46.5000,999,0,0.94695
110,-48.6000,999,0,0.94647
111,-46.6500,999,0,0.94600
112,-47.9750,999,0,0.94553
113,-47.3500,999,0,0.94505
114,-47.8000,999,0,0.94458
115,-46.8000,999,0,0.94411
116,-45.9000,999,0,0.94364
117,-45.5750,999,0,0.94316
118,-47.5250,999,0,0.94269
119,-45.7750,999,0,0.94222
120,-49.4250,999,0,0.94175
121,-48.2250,999,0,0.94128
122,-47.8500,999,0,0.94081
123,-44.4000,999,0,0.94034
124,-49.1750,999,0,0.93987
125,-50.0250,999,0,0.93940
126,-46.8250,999,0,0.93893
127,-48.7750,999,0,0.93846
128,-43.6750,999,0,0.93799
129,-46.3750,999,0,0.93752
130,-47.7250,999,0,0.93705
131,-46.8750,999,0,0.93658
132,-46.5750,999,0,0.93612
133,-45.3750,999,0,0.93565
134,-48.5000,999,0,0.93518
135,-46.0500,999,0,0.93471
136,-44.6000,999,0,0.93424
137,-45.3000,999,0,0.93378
138,-46.0250,999,0,0.93331
139,-46.6750,999,0,0.93284
140,-44.3750,999,0,0.93238
141,-46.1500,999,0,0.93191
142,-45.4750,999,0,0.93145
143,-45.0750,999,0,0.93098
144,-47.6250,999,0,0.93051
145,-46.0250,999,0,0.93005
146,-47.4000,999,0,0.92958
147,-46.6750,999,0,0.92912
148,-45.5000,999,0,0.92865
149,-45.2250,999,0,0.92819
150,-46.4500,999,0,0.92773
151,-45.0750,999,0,0.92726
152,-45.5750,999,0,0.92680
153,-47.3250,999,0,0.92634
154,-46.7500,999,0,0.92587
155,-46.1000,999,0,0.92541
156,-45.1500,999,0,0.92495
157,-45.1750,999,0,0.92448
158,-46.7250,999,0,0.92402
159,-45.2500,999,0,0.92356
160,-43.7500,999,0,0.92310
161,-45.9000,999,0,0.92264
162,-49.0500,999,0,0.92218
163,-46.7750,999,0,0.92171
164,-46.0500,999,0,0.92125
165,-46.3250,999,0,0.92079
166,-49.9750,999,0,0.92033
