run_id,position_bins,velocity_bins,num_actions,episodes,epsilon,epsilon_min,epsilon_decay,gamma,alpha,planning_steps,seed,eval_mean_reward,eval_std_reward,eval_success_rate,eval_mean_steps,train_success_rate_last500,train_seconds
hp4_base_s0,20,20,4,3000,1.0,0.05,0.999,0.99,0.1,,0,91.90255549747413,0.24711098289429773,1.0,158.93,1.0,23.957861761999993
hp4_base_s1,20,20,4,3000,1.0,0.05,0.999,0.99,0.1,,1,85.03711107124226,26.497365120046787,0.98,183.14,0.986,26.65787001199999
hp4_alpha0.05_s0,20,20,4,3000,1.0,0.05,0.999,0.99,0.05,,0,89.18188882528419,27.02923759684874,0.98,173.55,1.0,21.21038519900003
hp4_alpha0.05_s1,20,20,4,3000,1.0,0.05,0.999,0.99,0.05,,1,88.89311104757923,26.982722893911287,0.98,176.34,1.0,23.415906767000024
hp4_alpha0.2_s0,20,20,4,3000,1.0,0.05,0.999,0.99,0.2,,0,92.62211108065976,1.865052556015376,1.0,114.65,1.0,22.26712471399992
hp4_alpha0.2_s1,20,20,4,3000,1.0,0.05,0.999,0.99,0.2,,1,92.40222218271761,1.271391783023272,1.0,129.0,0.998,23.69084762600005
hp4_alpha0.5_s0,20,20,4,3000,1.0,0.05,0.999,0.99,0.5,,0,86.79144440531074,26.746047625067487,0.98,164.61,1.0,25.32860932899996
hp4_alpha0.5_s1,20,20,4,3000,1.0,0.05,0.999,0.99,0.5,,1,83.878444368177,28.868772886870513,0.94,203.58,1.0,24.908893191999937
hp4_gamma0.9_s0,20,20,4,3000,1.0,0.05,0.999,0.9,0.1,,0,81.0272220503953,34.034931416873185,0.88,300.35,0.996,30.757515425000065
hp4_gamma0.9_s1,20,20,4,3000,1.0,0.05,0.999,0.9,0.1,,1,69.6966664403876,44.18589549358648,0.77,376.74,0.998,28.215170091999994
hp4_gamma0.999_s0,20,20,4,3000,1.0,0.05,0.999,0.999,0.1,,0,89.0476666146716,27.020244222799466,0.98,159.31,1.0,25.609191578000036
hp4_gamma0.999_s1,20,20,4,3000,1.0,0.05,0.999,0.999,0.1,,1,91.66511103935375,1.2956003596283356,1.0,179.66,1.0,25.834119314999953
hp4_gamma1.0_s0,20,20,4,3000,1.0,0.05,0.999,1.0,0.1,,0,93.11711107654705,1.034327386079409,1.0,115.22,1.0,22.76937820499984
hp4_gamma1.0_s1,20,20,4,3000,1.0,0.05,0.999,1.0,0.1,,1,89.50077774516083,27.089447317043383,0.98,128.77,0.978,23.541081273000145
hp4_epsilon_decay0.997_s0,20,20,4,3000,1.0,0.05,0.997,0.99,0.1,,0,88.83711105014221,26.97763692219477,0.98,173.46,1.0,16.55762608000009
hp4_epsilon_decay0.997_s1,20,20,4,3000,1.0,0.05,0.997,0.99,0.1,,1,91.27377772209383,0.19433660426389734,1.0,162.0,1.0,15.264311860000134
hp4_epsilon_decay0.9995_s0,20,20,4,3000,1.0,0.05,0.9995,0.99,0.1,,0,88.05355551458074,26.88296418953062,0.98,154.46,0.966,34.26628417000006
hp4_epsilon_decay0.9995_s1,20,20,4,3000,1.0,0.05,0.9995,0.99,0.1,,1,91.9836666250428,1.1043275927201561,1.0,136.03,0.978,33.044903342
hp4_epsilon_min0.0_s0,20,20,4,3000,1.0,0.0,0.999,0.99,0.1,,0,91.90255549747413,0.24711098289429773,1.0,158.93,1.0,23.73995697800001
hp4_epsilon_min0.0_s1,20,20,4,3000,1.0,0.0,0.999,0.99,0.1,,1,85.03711107124226,26.497365120046787,0.98,183.14,0.986,26.41904519700006
hp4_epsilon_min0.2_s0,20,20,4,3000,1.0,0.2,0.999,0.99,0.1,,0,87.25955553329659,26.78147832692863,0.98,137.28,0.998,24.47429821899982
hp4_epsilon_min0.2_s1,20,20,4,3000,1.0,0.2,0.999,0.99,0.1,,1,88.79077774075009,27.02082913781081,0.98,141.79,0.998,26.904583410999976
