episode,reward,steps,success,epsilon
0,-50.3500,999,0,1.00000
1,-50.7250,999,0,0.99900
2,-48.3500,999,0,0.99800
3,-46.4000,999,0,0.99700
4,-49.8250,999,0,0.99601
5,-50.8750,999,0,0.99501
6,-48.9250,999,0,0.99401
7,-50.8750,999,0,0.99302
8,-50.4500,999,0,0.99203
9,-49.4750,999,0,0.99104
10,-51.4000,999,0,0.99004
11,-49.6750,999,0,0.98905
12,-48.8250,999,0,0.98807
13,-48.5250,999,0,0.98708
14,-49.9000,999,0,0.98609
15,-50.1750,999,0,0.98510
16,-50.2500,999,0,0.98412
17,-50.6500,999,0,0.98314
18,-50.2750,999,0,0.98215
19,-49.2500,999,0,0.98117
20,-47.9250,999,0,0.98019
21,-48.3500,999,0,0.97921
22,-50.4000,999,0,0.97823
23,-49.1500,999,0,0.97725
24,-48.7000,999,0,0.97627
25,-50.1000,999,0,0.97530
26,-49.6500,999,0,0.97432
27,-47.9500,999,0,0.97335
28,-47.8750,999,0,0.97237
29,-46.8000,999,0,0.97140
30,-49.3000,999,0,0.97043
31,-51.5500,999,0,0.96946
32,-48.4750,999,0,0.96849
33,-48.5000,999,0,0.96752
34,-47.5000,999,0,0.96656
35,-49.5500,999,0,0.96559
36,-49.7500,999,0,0.96462
37,-48.8000,999,0,0.96366
38,-50.7500,999,0,0.96269
39,-50.8250,999,0,0.96173
40,-50.3250,999,0,0.96077
41,-49.1750,999,0,0.95981
42,-48.4750,999,0,0.95885
43,-46.0000,999,0,0.95789
44,-47.1750,999,0,0.95693
45,-45.6000,999,0,0.95598
46,-49.5000,999,0,0.95502
47,-46.7250,999,0,0.95406
48,-47.4750,999,0,0.95311
49,-49.0500,999,0,0.95216
50,-46.6750,999,0,0.95121
51,-46.4250,999,0,0.95025
52,-48.0750,999,0,0.94930
53,-47.7250,999,0,0.94835
54,-46.1250,999,0,0.94741
55,-48.0250,999,0,0.94646
56,-47.4000,999,0,0.94551
57,-45.9750,999,0,0.94457
58,-45.9750,999,0,0.94362
59,-46.4250,999,0,0.94268
60,-45.1750,999,0,0.94174
61,-48.1000,999,0,0.94079
62,-47.0750,999,0,0.93985
63,-47.2750,999,0,0.93891
64,-46.8750,999,0,0.93797
65,-46.9500,999,0,0.93704
66,-47.1500,999,0,0.93610
67,-48.9500,999,0,0.93516
68,-46.0500,999,0,0.93423
69,-47.3000,999,0,0.93329
70,-46.6250,999,0,0.93236
71,-44.8250,999,0,0.93143
72,-49.5750,999,0,0.93050
73,-46.7000,999,0,0.92957
74,-44.9500,999,0,0.92864
75,-46.8250,999,0,0.92771
76,-47.4000,999,0,0.92678
77,-46.9250,999,0,0.92585
78,-47.2750,999,0,0.92493
79,-44.9500,999,0,0.92400
80,-47.1000,999,0,0.92308
81,-46.1750,999,0,0.92216
82,-43.9250,999,0,0.92123
83,-45.8000,999,0,0.92031
84,-47.3750,999,0,0.91939
85,-46.4750,999,0,0.91847
86,-43.3750,999,0,0.91755
87,-45.4750,999,0,0.91664
88,-44.4250,999,0,0.91572
89,-45.5500,999,0,0.91480
90,-43.7750,999,0,0.91389
91,-43.1000,999,0,0.91298
92,-46.6500,999,0,0.91206
93,-44.1750,999,0,0.91115
94,-44.2750,999,0,0.91024
95,-42.9750,999,0,0.90933
96,-46.6500,999,0,0.90842
97,-43.8500,999,0,0.90751
98,-45.9250,999,0,0.90660
99,-47.5000,999,0,0.90570
100,-48.1750,999,0,0.90479
101,-44.5250,999,0,0.90389
102,-44.6250,999,0,0.90298
103,-43.8500,999,0,0.90208
104,-42.0750,999,0,0.90118
105,-44.8000,999,0,0.90028
106,-45.3000,999,0,0.89938
107,68.1000,709,1,0.89848
108,-44.6750,999,0,0.89758
109,-45.9000,999,0,0.89668
110,-47.6250,999,0,0.89578
111,-45.0500,999,0,0.89489
112,-44.6250,999,0,0.89399
113,-45.7750,999,0,0.89310
114,-45.3000,999,0,0.89221
115,-46.4250,999,0,0.89131
116,-48.4000,999,0,0.89042
117,-48.9750,999,0,0.88953
118,-48.2750,999,0,0.88864
119,-50.7750,999,0,0.88775
120,-50.5500,999,0,0.88687
121,-48.2750,999,0,0.88598
122,-50.4000,999,0,0.88509
123,-48.0750,999,0,0.88421
124,-49.8250,999,0,0.88333
