run_id,position_bins,velocity_bins,num_actions,episodes,epsilon,epsilon_min,epsilon_decay,gamma,alpha,planning_steps,seed,eval_mean_reward,eval_std_reward,eval_success_rate,eval_mean_steps,train_success_rate_last500,train_seconds
hp_base_s0,20,20,5,3000,1.0,0.05,0.999,0.99,0.1,,0,0.0,0.0,0.0,999.0,0.0,50.671079906000045
hp_base_s1,20,20,5,3000,1.0,0.05,0.999,0.99,0.1,,1,0.0,0.0,0.0,999.0,0.0,51.111125523
hp_alpha0.05_s0,20,20,5,3000,1.0,0.05,0.999,0.99,0.05,,0,0.0,0.0,0.0,999.0,0.0,51.15945944200001
hp_alpha0.05_s1,20,20,5,3000,1.0,0.05,0.999,0.99,0.05,,1,0.0,0.0,0.0,999.0,0.0,53.60739192899996
hp_alpha0.2_s0,20,20,5,3000,1.0,0.05,0.999,0.99,0.2,,0,0.0,0.0,0.0,999.0,0.0,51.85309890199994
hp_alpha0.2_s1,20,20,5,3000,1.0,0.05,0.999,0.99,0.2,,1,0.0,0.0,0.0,999.0,0.0,51.99422714699995
hp_alpha0.5_s0,20,20,5,3000,1.0,0.05,0.999,0.99,0.5,,0,83.51375000000003,13.286925140434075,0.99,238.93,1.0,36.76588732100004
hp_alpha0.5_s1,20,20,5,3000,1.0,0.05,0.999,0.99,0.5,,1,0.0,0.0,0.0,999.0,0.0,55.594709964
hp_gamma0.9_s0,20,20,5,3000,1.0,0.05,0.999,0.9,0.1,,0,0.0,0.0,0.0,999.0,0.0,51.60805922600002
hp_gamma0.9_s1,20,20,5,3000,1.0,0.05,0.999,0.9,0.1,,1,0.0,0.0,0.0,999.0,0.0,51.034669384999916
hp_gamma0.999_s0,20,20,5,3000,1.0,0.05,0.999,0.999,0.1,,0,0.0,0.0,0.0,999.0,0.0,52.370501228999956
hp_gamma0.999_s1,20,20,5,3000,1.0,0.05,0.999,0.999,0.1,,1,0.0,0.0,0.0,999.0,0.0,51.84601105499996
hp_gamma1.0_s0,20,20,5,3000,1.0,0.05,0.999,1.0,0.1,,0,0.0,0.0,0.0,999.0,0.0,51.541920936999986
hp_gamma1.0_s1,20,20,5,3000,1.0,0.05,0.999,1.0,0.1,,1,0.0,0.0,0.0,999.0,0.0,51.27728104200014
hp_epsilon_decay0.997_s0,20,20,5,3000,1.0,0.05,0.997,0.99,0.1,,0,0.0,0.0,0.0,999.0,0.0,52.77262942900006
hp_epsilon_decay0.997_s1,20,20,5,3000,1.0,0.05,0.997,0.99,0.1,,1,0.0,0.0,0.0,999.0,0.0,51.97675151500016
hp_epsilon_decay0.9995_s0,20,20,5,3000,1.0,0.05,0.9995,0.99,0.1,,0,0.0,0.0,0.0,999.0,0.0,52.09985205900011
hp_epsilon_decay0.9995_s1,20,20,5,3000,1.0,0.05,0.9995,0.99,0.1,,1,0.0,0.0,0.0,999.0,0.0,51.43742286100019
hp_epsilon_min0.0_s0,20,20,5,3000,1.0,0.0,0.999,0.99,0.1,,0,0.0,0.0,0.0,999.0,0.0,50.92229935500018
hp_epsilon_min0.0_s1,20,20,5,3000,1.0,0.0,0.999,0.99,0.1,,1,0.0,0.0,0.0,999.0,0.0,51.23793499699991
hp_epsilon_min0.2_s0,20,20,5,3000,1.0,0.2,0.999,0.99,0.1,,0,0.0,0.0,0.0,999.0,0.0,52.505577440000025
hp_epsilon_min0.2_s1,20,20,5,3000,1.0,0.2,0.999,0.99,0.1,,1,0.0,0.0,0.0,999.0,0.0,52.12756391800008
